hanzi,pinyin,definition,example_sentence,difficulty
吧,ba,modal particle indicating polite suggestion;...right?;...OK?,让大家起床吧。,Easy
白,bái,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,雪是白的。,Easy
百,bǎi,hundred; numerous; all kinds of; surname Bai,我卖了一百件衣服,Easy
帮助,bāng zhù,assistance; aid; to help; to assist,为什么要帮助你？,Easy
报纸,bào zhǐ,"newspaper; newsprint; CL:份[fen4] ,期[qi1] ,张[zhang1]",看完报纸休息。,Easy
比,bǐ,particle used for comparison and '-er than'; to compare; to contrast; to gesture (with hands); ratio,我比爸爸还高。,Easy
别,bié,do not; must not; to pin; to leave; to depart; to separate; to distinguish; to classify; other; another,太晚了，别看电视了。,Easy
宾馆,bīn guǎn,"guesthouse; CL:个,家[jia1]",这是我们这儿最大的宾馆，可以住 300 个客人。,Easy
长(形容词),cháng,long; length,...,Easy
唱歌,chàng gē,to sing a song,我最爱唱歌了，我给你们唱一个。,Easy
出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc",我们坐出租车去火车站。,Easy
穿,chuān,to wear; to put on; to dress; to bore through; pierce; perforate; penetrate; pass through; to thread,穿红衣服的是服务员。,Easy
次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",我去年去中国三次。,Easy
从,cóng,from; via; passing through; through,从我家到公司，开车要 20 分钟。,Easy
错,cuò,mistake; error; blunder; fault; cross; uneven; wrong; CL:个,对不起，我错了。,Easy
打篮球,dǎ lán qiú,play basketball,我每天下午都去打篮球。,Easy
大家,dà jiā,everyone,请大家不要等我了。,Easy
到,dào,to (a place); until (a time); up to; to go; to arrive,从我家到公司，开车要 20 分钟。,Easy
得(助词),de,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; ",...,Easy
等(动词),děng,to wait for; to await; class (grade); et cetera; and so on; et al. (and other authors); after; as soon as; once; ,...,Easy
弟弟,dì di,"younger brother; CL:个,位[wei4]",哥哥比弟弟高。,Easy
第一,dì yī,first; number one,这是我第一次见到他。,Easy
懂,dǒng,to understand; to know,你的意思我懂了。,Easy
对(介词),duì,towards; at; for,...,Easy
对(形容词),duì,right; correct,...,Easy
房间,fáng jiān,room; CL:间[jian1],房间非常漂亮。,Easy
非常,fēi cháng,extraordinary; unusual; extreme; very; exceptional,房间非常漂亮。,Easy
服务员,fú wù yuán,waiter; waitress; attendant; customer service personnel; CL:个,我在饭馆做服务员。,Easy
高,gāo,high; tall; above average; loud; your (honorific); surname Gao,我比爸爸还高。,Easy
告诉,gào su,to tell; to inform; to let know,你能告诉我学校怎么走吗？,Easy
哥哥,gē ge,"older brother; CL:个,位[wei4]",最左边的是哥哥的妻子。,Easy
给,gěi,to (someone); for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),给你介绍我妹妹。,Easy
公共汽车,gōng gòng qì chē,"bus; CL:辆[liang4] ,班[ban1]",我们可以坐 10路公共汽车去。,Easy
公司,gōng sī,(business) company; company; firm; corporation; incorporated; CL:家[jia1],希望它离公司近。,Easy
贵,guì,expensive; noble; your (name); precious,这块手表很贵。,Easy
过(助词),guo,(used after a verb) to indicate the completion of an action,...,Easy
孩子,hái zi,child,孩子对妈妈说：“妈妈，我爱你。”,Easy
还(副词),hái,still; yet; even more; still more; also; too; as well,...,Easy
好吃,hǎo chī,tasty; delicious,您做的米饭真好吃。,Easy
黑,hēi,black; dark; abbr. for Heilongjiang 黑龙江 province in northeast China,我不喜欢黑颜色的衣服。,Easy
红,hóng,red; bonus; popular; revolutionary,穿红衣服的是服务员。,Easy
火车站,huǒ chē zhàn,train station,我今天中午去火车站。,Easy
机场,jī chǎng,"airport; airfield; CL:家[jia1] ,处[chu4]",我在机场工作了三年了。,Easy
鸡蛋,jī dàn,"(chicken) egg; hen's egg; CL:个,打[da2]",我每天早上都要吃个鸡蛋。,Easy
件,jiàn,"item; component; classifier for events, things, clothes etc",这件事儿，我听你的。,Easy
教室,jiào shì,classroom; CL:间[jian1],请大家都到教室去上课。,Easy
姐姐,jiě jie,older sister; CL:个,我有两个姐姐。,Easy
介绍,jiè shào,to present; to introduce; to recommend; to suggest; to let know; to brief,我来介绍一下我的朋友。,Easy
近,jìn,near; close to; approximately,我们家离公司很近。,Easy
进,jìn,"to enter; to advance; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal",请开门，让我进去。,Easy
就,jiù,just (emphasis); at once; right away; only; as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,他就是我们的汉语老师。,Easy
觉得,jué de,to think; to feel,但是我觉得您可以喝咖啡。,Easy
咖啡,kā fēi,coffee; CL:杯[bei1],但是我觉得您可以喝咖啡。,Easy
开始,kāi shǐ,to begin; beginning; to start; initial; CL:个,我们从第十课开始学习。,Easy
考试,kǎo shì,exam; CL:次[ci4],考试的时间很长。,Easy
可能,kě néng,might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:个,我可能不能去上班了。,Easy
可以,kě yǐ,can; may; possible; able to,这个菜做得还可以。,Easy
课,kè,"subject; course; class; lesson; CL:堂[tang2] ,节[jie2] ,门[men2]",现在，我们上课。,Easy
快,kuài,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant,生日快乐！,Easy
快乐,kuài lè,happy; merry,生日快乐！,Easy
累,lèi,tired; weary; to strain; to wear out; to work hard,我累了，想休息。,Easy
离,lí,to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old),我们家离公司很近。,Easy
两,liǎng,two (quantities); both; ounce; some; a few; tael; weight equal to 50 grams,在我们家，我最大，我下面还有两个弟弟。,Easy
零,líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division),今年是二零一二年。,Easy
路,lù,road; path; way; CL:条[tiao2],我们可以坐 10路公共汽车去。,Easy
旅游,lv3 yóu,trip; journey; tourism; travel; tour,我们开车去旅游。,Easy
卖,mài,to sell; to betray; to spare no effort; to show off or flaunt,那个男人卖票。,Easy
慢,màn,slow,我们走得很慢。,Easy
忙,máng,busy; hurriedly,你在忙什么呢？,Easy
每,měi,each; every,我每天早上都跑步。,Easy
妹妹,mèi mei,younger sister; fig. younger woman (esp. girl friend or rival); CL:个,妹妹会唱歌，也会跳舞。,Easy
门,mén,"gate; doo; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technologyr; CL:个, 扇[shan4]",请开门，让我进去。,Easy
面条,miàn tiáo,noodles,...,Easy
男,nán ,"male; Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; CL:個|个[ge4]; ",那个男人卖票。,Easy
您,nín,you (polite); as opposed to informal you 你[ni3]),老师，您好！,Easy
牛奶,niú nǎi,"cow's milk; CL:瓶[ping2] ,杯[bei1]",牛奶不好喝。,Easy
女,nǚ ,female; woman; daughter; ,那个女人你认识吗？,Easy
旁边,páng biān,lateral; side; to the side; beside,爸爸在我旁边。,Easy
跑步,pǎo bù,to walk quickly; to march; to run,我每天早上都跑步。,Easy
便宜,pián yi,cheap; inexpensive; small advantages; to let sb off lightly,苹果很便宜，我们买点儿吧。,Easy
票,piào,ticket; ballot; bank note; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect); CL:张[Zhang1],我要去火车站买车票。,Easy
妻子,qī zi,wife; CL:个,我妻子上班去了。,Easy
起床,qǐ chuáng,to get up,让大家起床吧。,Easy
千,qiān,thousand,...,Easy
铅笔,qiān bǐ,"(lead) pencil; CL:支[zhi1] ,枝[zhi1] ,杆[gan3]",你看见我的铅笔了吗？,Easy
晴,qíng,clear; fine (weather),今天是晴天。,Easy
去年,qù nián,last year,我去年去中国三次。,Easy
让,ràng,to permit; to let sb do sth; to have sb do sthto yield,请开门，让我进去。,Easy
日,rì,day; day of the month; date; sun; abbr. for 日本 Japan,今天是八月九日。,Easy
上班,shàng bān,to go to work; to be on duty; to start work; to go to the office,我生病了，不能去上班了。,Easy
身体,shēn tǐ,(human) body; health; CL:个,身体生病了，要吃药。,Easy
生病,shēng bìng,to fall ill; to sicken,身体生病了，要吃药。,Easy
生日,shēng rì,birthday; CL:个,生日快乐！,Easy
时间,shí jiān,time; period; CL:段[duan4],我没时间去北京。,Easy
事情,shì qing,affair; matter; thing; business,你下午有什么事情吗？,Easy
手表,shǒu biǎo,"wrist watch; CL:块[kuai4] ,只[zhi1] ,个",这块手表非常漂亮。,Easy
手机,shǒu jī,cell phone; cellular phone; mobile phone; CL:部[bu4],你看，我新买了一个手机。,Easy
说话,shuō huà,to speak; to say; to talk; to gossip; to tell stories; talk; word,他们在说话。,Easy
送,sòng,to deliver; to carry; to give (as a present); to present (with); to see off; to send,爸爸送我去饭馆。,Easy
虽然…但是…,suī rán …dàn shì …,although…still…; even if…nevertheless... ,...,Easy
它,tā,it (inanimate thing or animal),希望它离公司近。,Easy
踢足球,tī zú qiú,play soccer (football),我和同学们在踢足球。,Easy
题,tí,"topic; problem for discussion; exam question; subject; to inscribe; to mention; surname Ti; CL:个,道[dao4]",老师，我可以问你一个问题吗？,Easy
跳舞,tiào wǔ,to dance,别唱歌了，跳舞吧。,Easy
外,wài,outside; in addition; foreign; external,那些学生是外校的。,Easy
完,wán,to finish; to be over; whole; complete; entire,我都快吃完了。,Easy
玩,wán,to play; toy; sth used for amusement; curio or antique (Taiwan pr. wan4); to have fun; to trifle with; to keep sth for entertainment,他在玩，没有学习。,Easy
晚上,wǎn shang,in the evening; CL:个,我已经找出问题了，晚上问你。,Easy
往,wǎng,to go (in a direction); to; towards; (of a train) bound for; past; previous,再往前走 500 米就到了。,Easy
为什么,wèi shén me,for what reason?; why?,为什么要帮助你？,Easy
问,wèn,to ask,老师，我可以问你一个问题吗？,Easy
问题,wèn tí,question; problem; issue; topic; CL:个,我已经找出问题了，晚上问你。,Easy
希望,xī wàng,to wish for; to desire; hope CL:个,我希望你别走了。,Easy
西瓜,xī guā,watermelon; CL:条[tiao2],来吃块西瓜吧。,Easy
洗,xǐ,to wash; to bathe,西瓜也要一起洗。,Easy
小时,xiǎo shí,hour; CL:个,我看了一小时的书。,Easy
笑,xiào,laugh; smile; CL:个,妈妈笑了。,Easy
新,xīn,new; newly; meso- (chemistry),这是我买的新衣服。,Easy
姓,xìng,family name; surname; name; CL:个,中国人的姓在名字的前面。,Easy
休息,xiū xi,rest; to rest,我累了，想休息。,Easy
雪,xuě,"snow; snowfall; to have the appearance of snow; to wipe away, off or out; to clean CL:场[chang2]",雪是白的。,Easy
颜色,yán sè,color; CL:个,这件衣服颜色非常好看。,Easy
眼睛,yǎn jing,"eye; CL:只[zhi1] ,双[shuang1]",哥哥的眼睛是什么颜色的？,Easy
羊肉,yáng ròu,mutton,有些人不爱吃羊肉。,Easy
药,yào,"medicine; drug; cure; CL:种[zhong3] ,服[fu4]",身体生病了，要吃药。,Easy
要,yào,to want; will; going to (as future auxiliary); important; vital; may; must,西瓜也要一起洗。,Easy
也,yě,also; too; (in classical Chinese) final particle serving as copula,西瓜也要一起洗。,Easy
一下,yī xià ,(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once; ,请等我一下。,Easy
已经,yǐ jīng,already,我已经找出问题了，晚上问你。,Easy
一起,yī qǐ,together; in the same place; with; altogether (in total),我们准备一起再玩（儿）一小时。,Easy
意思,yì si,idea; opinion; meaning; wish; desire; CL:个,你的意思我懂了。,Easy
因为…所以…,yīn wèi …suǒ yǐ …,because… thus…; on account of…then…,...,Easy
阴,yīn,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia,今天是阴天。,Easy
游泳,yóu yǒng,swim,我喜欢的运动是：游泳、踢足球。,Easy
右边,yòu bian,"right side; right, to the right",右边第一个男人是我丈夫。,Easy
鱼,yú,"fish; CL:条[tiao2] ,尾[wei3]",鱼真便宜！,Easy
远,yuǎn,far; distant; remote,从家到学校很远。,Easy
运动,yùn dòng,movement; campaign; sports; CL:场[chang3],我们都很喜欢运动。,Easy
再,zài,"again; once more; re-; second; another; then (after sth, and not until then)",我吃完饭再去商店。,Easy
早上,zǎo shang,early morning; Good morning!; CL:个,我早上看见过他。,Easy
丈夫,zhàng fu,husband; CL:个,右边第一个男人是我丈夫。,Easy
找,zhǎo,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,我已经找出问题了，晚上问你。,Easy
着,zhe,"particle attached after verb to indicate action in progress, like -ing ending",他笑着说：“你不认识我，但是我认识你。”,Easy
真,zhēn,really; truly; indeed; real; true; genuine,他跑得真快。,Easy
正在,zhèng zài,in the process of (doing something or happening); while (doing),弟弟正在打篮球。,Easy
知道,zhī dào,to know; to be aware of,我不知道他现在在哪里。,Easy
准备,zhǔn bèi,preparation; prepare,我们准备一起再玩（儿）一小时。,Easy
走,zǒu,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走); to change (shape, form, meaning)",再往前走 500 米就到了。,Easy
最,zuì,most; the most; -est,在我们家，我最大，我下面还有两个弟弟。,Easy
